Menu_Item,Average_Unit_Cost,Unit_Measurement,Description,Notes
Neighborhood Greenways,75000,Half-mile,"A Neighborhood Greenway is a low-volume and low-speed street that has been optimized for bicycle travel through treatments such as traffic calming and traffic reduction, roadway signing and pavement markings, and intersection crossing treatments. Neighborhood Greenways take the shared roadway concept to a new level, creating an attractive, comfortable, and convenient cycling environment that caters to cyclist of all ages and abilities. Neighborhood Greenways also benefit pedestrians and adjacent residents by eliminating cut-through motor vehicle traffic. Based upon the number of and intersecting cross-streets prices will vary accordingly.",nan
Residential Street Traffic Circle,20000,Project,"Traffic circles are a traffic calming tool designed to reduce vehicular traffic speeds and collisions at residential intersections. A raised island, around which traffic circulates, requires motorists to reduce speed in order to maneuver around the structure. Traffic circles are appropriate for residential intersections. The estimate per project is dependent on intersection dimensions, restoration requirements, and existing utilities. The standard fill for the traffic circle is red stamped colored concrete. Based upon number of prices will vary accordingly",nan
Residential Street Bump-Outs,15000,Project (2 bump-outs),"Residential street bump-outs are a safety tool that reduces unprotected crossing distance for people walking and improves visibility. They visually narrow the travel lane, which reduces speeds and increases stop compliance. They are appropriate on residential streets. 'Detached' bump-outs are constructed by creating a pedestrian refuge area between the sidewalk and travel lane to reduce effects on drainage or existing curb lines. Estimated cost is dependent on roadway width, direction of traffic, restoration requirements, and existing utilities. The standard fill for the detached bump-outs is red stamped colored concrete. Based upon number of price will vary accordingly",nan
Arterial Street Bump Outs,50000,Corner,"Arterial street bump outs, also known as attached curb extensions, are a safety tool that reduces unprotected crossing distance for people walking, improves sight lines between pedestrians and motorists, and reduces vehicular turning speeds. These bump outs are appropriate on arterial and collector roadways and in areas with high pedestrian volumes. Estimated cost is dependent on drainage impacts and restoration requirements and will vary accordingly. Attached curb extensions cannot be considered on streets with peak hour parking restrictions or travel lanes adjacent to the curb. Once authorized, the program average cost shown above will be deducted from the Ward Menu balance. Once design is complete, a location specific cost estimate will be prepared. If the estimate is less than the average cost, the Menu balance will be credited. If the estimate is greater than the program average cost, additional Menu funds must be authorized in order to advance to construction. Note: These bump outs frequently require catch basin relocations. If they are on a State Jurisdiction roadway, an IDOT permit is required. The design and approval time for these requests can take 6 months. Therefore, to ensure that the bump outs are constructed in the calendar year requested, Aldermanic authorization submitted before March 15th.",nan
Pedestrian Refuge Island,75000,Location,"A pedestrian refuge island is an area of the roadway where a raised island is constructed to create a protected area for people crossing the street. Where pedestrian refuge islands are installed, pedestrians only have to cross one direction of traffic at a time. Pedestrian refuge islands have significant safety benefits especially for crossing points on busier, multilane streets and are especially beneficial at crossings where pedestrians travel at slower speeds (often locations with high numbers of seniors or children). Based on unique factors at each location, prices will vary accordingly. Once authorized the program cost shown below will be deducted from the Ward Menu balance. Once design is complete, a location specific cost estimate will be prepared. If the estimate is less than the average cost the Menu balance will be credited. If the estimate is greater than the program cost additional Menu funds must be authorized in order to advance to construction. Note: If the pedestrian refuge island is on a State Jurisdiction roadway, an IDOT permit is required. The design and approval time for these can take 6 months. Therefore, to ensure that the pedestrian refuge island is constructed in the calendar year requested, the authorization needs to be submitted before March 15th.",nan
Protected Bike Lane,250000,Half-mile,"A protected bike lane is physically separated from motor vehicle traffic using a physical barrier such as bollards, curbs, or parked cars. This type of bike lane offers a higher level of safety and comfort for cyclists compared to traditional bike lanes. The estimated cost is based on half-mile segments of protected bike lanes. The actual cost may vary depending on factors such as the street's width, the type of barrier used, and the need for traffic signal modifications. Protected bike lanes can greatly enhance the safety and accessibility of cycling routes, making them suitable for cyclists of all ages and skill levels. The program cost shown below will be deducted from the Ward Menu balance once authorized. Once design is complete, a location-specific cost estimate will be prepared. If the estimate is less than the program cost, the Menu balance will be credited. If the estimate is greater than the program cost, additional Menu funds must be authorized to advance to construction.",nan
Traditional Bike Lane,85000,Half-mile,"A traditional bike lane is a designated lane for cyclists within the roadway, typically marked with pavement markings and signage. Unlike protected bike lanes, traditional bike lanes do not have a physical barrier separating cyclists from motor vehicle traffic. The estimated cost is based on half-mile segments of traditional bike lanes. The actual cost may vary depending on factors such as the street's width and the need for pavement markings and signage. Traditional bike lanes can enhance cycling infrastructure by providing a dedicated space for cyclists, but they may not offer the same level of safety and comfort as protected bike lanes. The program cost shown below will be deducted from the Ward Menu balance once authorized. Once design is complete, a location-specific cost estimate will be prepared. If the estimate is less than the program cost, the Menu balance will be credited. If the estimate is greater than the program cost, additional Menu funds must be authorized to advance to construction.",nan
Buffered Bike Lane,60000,Half-mile,"Buffered bike lanes are conventional bicycle lanes paired with a designated buffer space separating the bicycle lane from the adjacent motor vehicle travel lane and/or parking lane. This extra space provides room for cyclists to pass, ride outside of the door zone, and provides greater shy distance between motor vehicles and bicyclists.",['CDOT retains the final approval for each.']
Bike Lane/Marked Shared Lane,40000,Half-mile,"A Bike Lane is defined as a portion of the roadway that has been designated by striping, signage, and pavement markings for the preferential or exclusive use of bicyclists. Marked shared lanes are generally not appropriate on streets with higher vehicle speeds or multiple travel lanes in each direction. Marked shared lanes are used on streets too narrow for bike lanes but are still good routes for bicyclists. They alert motorists to the presence of bicyclists, remind both motorists and bicyclists to properly share the road, and guide bicyclists to ride outside of the door zone of parked vehicles. Marked shared lanes are often used to fill in gaps in the bike lane network when there is not adequate roadway width to accommodate a bike lane in certain segments of a corridor.",['CDOT retains the final approval for each.']
Street Light Pole Painting Program,300,Pole,"This process consists of scraping, priming, and painting existing light poles. Arterial poles will be painted black, while residential poles will be painted green with gray arms. Due to the variety and shape of poles throughout the City, actual estimates will vary accordingly.",['Temperature must be 320°F or higher for painting']
Traffic Signal Intersection Pole Painting Program,3500,Intersection,"This process consists of scraping, priming, and painting existing traffic poles, traffic arms, and traffic signals all will be painted black. Due to the variety and configuration of intersections throughout the City, actual estimates will vary accordingly. When painting traffic poles, it is highly recommended to upgrade the existing fixture to a black 400-watt fixture if it does not already exist. Upgrading the fixtures would incur an additional cost to the project of $400 per fixture.",['Temperature must be 320°F or higher for painting']
Residential Street Lighting Program with Piggy Back,165000,Block,"This program is designed to add a completely new lighting system on residential streets with piggy backs. The process consists of removal of the old lighting, and installation of new underground electrical feeds, new aluminum light poles, and upgraded light emitting diode (LED) fixtures with piggy backs. These new lighting systems are compatible with the Chicago Smart Lighting Program (CSLP). Locations must be submitted in two-block segments, or as electrical circuits dictate (to be determined by CDOT). Due to the various types of City infrastructure (e.g. grass parkways, curb attached sidewalks, fire alarm, surveillance cameras, ADA ramps etc.), actual cost estimates will vary accordingly. The typical timeline for a 2-block residential lighting request once the Aldermen authorizes the project is 210-240 days as follows: Engineer design and permit application with OUC review - 90 days Parts and material - which includes the ordering process - 90 to 120 days Construction — Installation - 30 days While the (CSLP) will be installing LED fixtures citywide, the program includes a limited amount of pole replacement and wiring repairs. In conjunction with the CSLP, CDOT highly recommends that Aldermen continue to utilize this menu option in order to upgrade and modernize the lighting infrastructure in their ward.","['CDOT retains the final approval for each location.', 'In making your submission, please specify if you would like the piggy back lights omitted for this location.']"
Floodlight Installation,950,Fixture,"This program is designed to increase the light levels in a specific area and will consist of adding a new higher-wattage fixture aimed at the area of concern. This program cannot be utilized to light private property. Be advised, this type of request is not included in the Chicago Smart Lighting Program.",['CDOT retains the final approval for each location.']
