Ward,Alderperson,Address,Email,Phone Number,Websites
18,Derrick G. Curtis,"8359 S Pulaski Rd, Chicago, IL 60652",ward18@cityofchicago.org,773-284-5057,"{Website: https://www.derrickgcurtis.com/, LinkedIn: https://www.linkedin.com/in/derrick-curtis-90050a38/, Facebook: https://www.facebook.com/derrick.curtis.18, X: https://twitter.com/aldcurtis18, YouTube: https://www.youtube.com/@derrickcurtis7695/}"
19,Matthew O'Shea,"10400 S Western Ave, Chicago, IL 60643",ward19@cityofchicago.org,773-238-8766,"{Website: https://www.19thwardmobile.com/, X: https://twitter.com/mattoshea19, Facebook: https://www.facebook.com/mattoshea19, Instagram: https://www.instagram.com/oshea_matt/}"
20,Jeanette B. Taylor,"5707 S Wentworth, Chicago, IL 60621",ward20@cityofchicago.org,773-966-5336,"{Facebook: https://www.facebook.com/profile.php?id=100057997031768, X: https://twitter.com/taylorfor20th?lang=en, Instagram: https://www.instagram.com/taylorfor20th/?hl=en, LinkedIn: https://www.linkedin.com/in/jeanette-taylor-a84b32195/}"
21,Ronnie L. Mosley,"10801 S Halsted St, Chicago, IL 60628",ward21@cityofchicago.org,773-881-9300,
22,Michael D. Rodriguez,"2500 S St. Louis Ave, Chicago, IL 60623",ward22@cityofchicago.org,773-762-1771,
23,Silvana Tabares,"6247 S Archer Ave, Chicago, IL 60638",ward23@cityofchicago.org,773-582-4444,
24,Monique Scott,"1158 S Keeler Ave, Chicago, IL 60624",ward24@cityofchicago.org,773-533-2400,
25,Byron Sigcho Lopez,"2100 W Cermak Rd, Chicago, IL 60608",ward25@cityofchicago.org,773-523-4100,
26,Jessica Fuentes,"2511 W Division St, Chicago, IL 60622",ward26@cityofchicago.org,773-395-0143,
27,"Walter Burnett, Jr.","4 N Western Ave Unit 1C, Chicago, IL 60612",ward27@cityofchicago.org,312-432-1995,
28,Jason Ervin,"2622 W Jackson Blvd 2nd Floor, Chicago, IL 60612",ward28@cityofchicago.org,773-533-0900,
29,Christopher Taliaferro,"6272 W N Ave, Chicago, IL 60639",ward29@cityofchicago.org,773-237-6460,
30,Ruth Cruz,"5714 W Belmont Ave Unit A, Chicago, IL 60634",ward30@cityofchicago.org,312-744-3304,
31,"Felix Cardona, Jr.","4606 W Diversey Ave, Chicago, IL 60639",ward31@cityofchicago.org,773-824-2000,
32,Scott Waguespack,"2657 N Clybourn, Chicago, IL 60614",info@ward32.org,773-248-1330,
33,Rossana Rodriguez Sanchez,"4747 N Sawyer Ave, Chicago, IL 60625",info@33rdward.org,773-840-7880,
34,William Conway,,ward34@cityofchicago.org,312-744-6820,
35,Carlos Ramirez-Rosa,"2934 N Milwaukee Ave Unit C, Chicago, IL 60618",ward35@cityofchicago.org,773-887-3772,
36,Gilbert Villegas,"6560 W Fullerton Ave #C118 Suite A, Chicago, IL 60607",ward36@cityofchicago.org,773-745-4636,
37,Emma Mitts,"4924 W Chicago Ave, Chicago, IL 60651",ward37@cityofchicago.org,773-379-0960,
38,Nicholas Sposato,"3821 N Harlem Ave, Chicago, IL 60634",info@aldermansposato.com,773-283-3838,
39,Samantha Nugent,"4200 W Lawrence Ave, Chicago, IL 60630",Ward39@cityofchicago.org,773-736-5594,
40,"Andre Vasquez, Jr.","5620 N Western Ave, Chicago, IL 60659",info@40thward.org,773-654-1867,
41,Anthony V. Napolitano,"7442 N Harlem Ave, Chicago, IL 60631",ward41@cityofchicago.org,773-631-2241,
42,Brendan Reilly,,ward42@cityofchicago.org,312-642-4242,"{Website: https://ward42chicago.com, X: https://twitter.com/AldReilly}"
43,Timmy Knudsen,"2523 N Halsted St, Chicago, IL 60614",Yourvoice@ward43.org,773-348-9500,
44,Bennett R. Lawson,"3223 N Sheffield Ave, Chicago, IL 60657",ward44@cityofchicago.org,773-525-6034,
45,James M. Gardiner,"5425 W Lawrence Ave,Chicago, IL 60630",ward45@cityofchicago.org,773-853-0799,
46,Angela Clay,"4544 N Broadway, Chicago, IL 60640",info@46thward.com,773-878-4646,
47,Matthew J. Martin,"4243 N Lincoln Ave, Chicago, IL 60618",info@aldermanmartin.com,773-868-4747,
48,Leni Manaa-Hoppenworth,"1129 W Bryn Mawr Ave,Chicago, IL 60660",info@the48thward.org,773-784-5277,
49,Maria E. Hadden,"1447 W Morse Ave, Chicago, IL 60626",Office@49thWard.org,773-338-5796,
50,Debra Silverstein,"2949 W Devon Ave, Chicago, IL 60659",ward50@cityofchicago.org,773-262-1050,
